population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,seed,runtime_seconds,dbi_before_ga,dbi_after_ga,dbi_improvement_pct,silhouette_score,ch_score,total_inertia,final_k,n_clusters_used
10,10,0.01,0.01,0.01,0.01,5,42,5.5652,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.01,0.01,0.01,0.01,5,43,5.4405,0.5599,0.5419,3.21,0.5227,578.4674,1892.6245,3,3
10,10,0.01,0.01,0.01,0.01,5,44,5.3165,0.5599,0.5421,3.18,0.5226,577.9503,1893.9012,3,3
10,10,0.01,0.01,0.01,0.01,5,45,5.3099,0.5599,0.5419,3.21,0.5227,578.5031,1892.2981,3,3
10,10,0.01,0.01,0.01,0.01,5,46,5.3502,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.01,0.01,0.01,0.01,8,42,6.9721,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
10,10,0.01,0.01,0.01,0.01,8,43,7.2974,0.5599,0.5419,3.21,0.5226,578.3736,1892.6552,3,3
10,10,0.01,0.01,0.01,0.01,8,44,7.1979,0.5599,0.5421,3.18,0.5228,578.0173,1893.6969,3,3
10,10,0.01,0.01,0.01,0.01,8,45,7.2216,0.5599,0.5423,3.14,0.5228,577.9106,1893.9985,3,3
10,10,0.01,0.01,0.01,0.01,8,46,7.062,0.5599,0.5421,3.18,0.5226,578.5323,1892.2164,3,3
10,10,0.01,0.01,0.01,0.01,12,42,7.7747,0.5599,0.5419,3.21,0.5227,578.469,1892.62,3,3
10,10,0.01,0.01,0.01,0.01,12,43,7.7212,0.5599,0.5419,3.21,0.5227,577.8648,1894.1061,3,3
10,10,0.01,0.01,0.01,0.01,12,44,7.8443,0.5599,0.5422,3.16,0.5227,578.4793,1892.3773,3,3
10,10,0.01,0.01,0.01,0.01,12,45,7.941,0.5599,0.5421,3.18,0.5227,578.4965,1892.5557,3,3
10,10,0.01,0.01,0.01,0.01,12,46,8.1023,0.5599,0.5419,3.21,0.5228,577.9959,1893.7445,3,3
