rank,population_size,generations,early_mutation_rate,mid_mutation_rate,late_mutation_rate,mutation_rate,max_stagnant,n_runs,mean_runtime_seconds,std_runtime_seconds,mean_dbi_before_ga,std_dbi_before_ga,mean_dbi_after_ga,std_dbi_after_ga,mean_dbi_improvement_pct,std_dbi_improvement_pct,mean_silhouette,std_silhouette,mean_ch_score,std_ch_score,best_single_run_dbi,best_single_run_silhouette
1,50,50,0.5,0.3,0.15,0.15,10,5,31.5193,0.5965,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5228,0.0,577.9599,0.0403,0.5418,0.5228
2,50,50,0.5,0.25,0.1,0.1,10,5,31.5584,0.5432,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5228,0.0,577.9599,0.0403,0.5418,0.5228
3,50,50,0.5,0.25,0.15,0.15,10,5,31.6262,0.6454,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5228,0.0,577.9599,0.0403,0.5418,0.5228
4,50,50,0.5,0.3,0.1,0.1,10,5,31.8456,0.4572,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5228,0.0,577.9599,0.0403,0.5418,0.5228
5,50,25,0.3,0.3,0.1,0.1,10,5,32.6636,0.9778,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5228,0.0,577.9581,0.0406,0.5418,0.5228
6,50,25,0.3,0.3,0.15,0.15,10,5,32.9872,0.8299,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5228,0.0,577.9581,0.0406,0.5418,0.5228
7,20,50,0.3,0.25,0.15,0.15,10,5,15.8166,0.2154,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9778,0.0317,0.5418,0.5228
8,20,50,0.3,0.3,0.15,0.15,10,5,15.877,0.0794,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9778,0.0317,0.5418,0.5228
9,20,50,0.3,0.25,0.1,0.1,10,5,15.906,0.2201,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9778,0.0317,0.5418,0.5228
10,20,50,0.3,0.3,0.1,0.1,10,5,16.3968,0.1799,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9778,0.0317,0.5418,0.5228
11,30,25,0.3,0.3,0.15,0.15,10,5,21.7506,0.2562,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9771,0.0344,0.5418,0.5228
12,50,25,0.5,0.3,0.1,0.1,5,5,19.3279,0.4563,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9768,0.0321,0.5418,0.5228
13,50,25,0.5,0.3,0.15,0.15,5,5,19.3365,0.3836,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9768,0.0321,0.5418,0.5228
14,20,25,0.3,0.3,0.1,0.1,10,5,16.0363,0.2067,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9765,0.0311,0.5418,0.5228
15,20,25,0.3,0.3,0.15,0.15,10,5,16.3664,0.3322,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9765,0.0311,0.5418,0.5228
16,30,25,0.3,0.3,0.1,0.1,10,5,21.7409,0.3503,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.034,0.5418,0.5228
17,50,50,0.3,0.3,0.15,0.15,10,5,31.9583,0.799,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.034,0.5418,0.5228
18,50,50,0.3,0.3,0.1,0.1,10,5,32.1597,0.5073,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9762,0.034,0.5418,0.5228
19,50,50,0.3,0.25,0.15,0.15,10,5,31.8044,0.7592,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9753,0.0335,0.5418,0.5228
20,50,50,0.3,0.25,0.1,0.1,10,5,32.0156,0.9573,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9753,0.0335,0.5418,0.5228
21,30,50,0.3,0.3,0.15,0.15,10,5,22.0175,0.5251,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9747,0.0333,0.5418,0.5228
22,30,50,0.3,0.25,0.15,0.15,10,5,22.0722,0.6283,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9747,0.0333,0.5418,0.5228
23,30,50,0.3,0.25,0.1,0.1,10,5,22.1201,0.6659,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9747,0.0333,0.5418,0.5228
24,30,50,0.3,0.3,0.1,0.1,10,5,22.2066,0.5691,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9747,0.0333,0.5418,0.5228
25,50,25,0.3,0.25,0.15,0.15,10,5,31.9454,0.5138,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9747,0.0333,0.5418,0.5228
26,50,25,0.5,0.25,0.15,0.15,10,5,32.6284,0.5546,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9744,0.0331,0.5418,0.5228
27,50,25,0.5,0.3,0.15,0.15,10,5,33.4738,0.3575,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9744,0.0331,0.5418,0.5228
28,50,25,0.5,0.3,0.1,0.1,10,5,33.605,0.4205,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9744,0.0331,0.5418,0.5228
29,20,25,0.5,0.25,0.15,0.15,10,5,16.1008,0.3016,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9506,0.0541,0.5418,0.5228
30,20,25,0.5,0.25,0.1,0.1,10,5,16.237,0.3686,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9506,0.0541,0.5418,0.5228
31,50,25,0.3,0.25,0.15,0.15,5,5,18.2947,0.3313,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9485,0.0524,0.5418,0.5228
32,50,25,0.3,0.25,0.1,0.1,5,5,18.828,0.7961,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5228,0.0,577.9485,0.0524,0.5418,0.5228
33,30,50,0.5,0.25,0.1,0.1,5,5,12.4018,0.1969,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.994,0.0022,0.5419,0.5228
34,30,50,0.5,0.25,0.15,0.15,5,5,12.4577,0.2226,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.994,0.0022,0.5419,0.5228
35,30,50,0.5,0.3,0.1,0.1,5,5,12.489,0.1793,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.994,0.0022,0.5419,0.5228
36,30,50,0.5,0.3,0.15,0.15,5,5,12.5604,0.2451,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.994,0.0022,0.5419,0.5228
37,30,25,0.5,0.3,0.15,0.15,5,5,12.7054,0.2923,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
38,30,25,0.5,0.3,0.1,0.1,5,5,12.8104,0.4684,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
39,50,50,0.5,0.25,0.15,0.15,5,5,17.9231,0.3436,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
40,50,50,0.5,0.25,0.1,0.1,5,5,18.0425,0.2917,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
41,50,50,0.5,0.3,0.1,0.1,5,5,18.2006,0.3251,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
42,50,50,0.5,0.3,0.15,0.15,5,5,18.3692,0.3271,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
43,50,25,0.5,0.25,0.15,0.15,5,5,18.7827,0.3835,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
44,50,25,0.5,0.25,0.1,0.1,5,5,19.4974,0.7191,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9931,0.0028,0.5419,0.5228
45,30,25,0.5,0.3,0.1,0.1,10,5,21.6713,0.2774,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9928,0.0025,0.5419,0.5228
46,30,25,0.5,0.3,0.15,0.15,10,5,21.7789,0.1922,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9928,0.0025,0.5419,0.5228
47,50,25,0.3,0.25,0.1,0.1,10,5,32.4897,0.2937,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.991,0.0024,0.5419,0.5228
48,30,25,0.3,0.25,0.15,0.15,10,5,21.4499,0.3796,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9907,0.0018,0.5419,0.5228
49,50,25,0.5,0.25,0.1,0.1,10,5,33.0117,0.4644,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9907,0.0018,0.5419,0.5228
50,30,25,0.3,0.3,0.15,0.15,5,5,12.3729,0.0962,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
51,30,25,0.3,0.25,0.1,0.1,5,5,12.4606,0.1148,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
52,30,25,0.3,0.3,0.1,0.1,5,5,12.5022,0.0609,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
53,30,25,0.3,0.25,0.15,0.15,5,5,12.5206,0.1238,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
54,30,50,0.3,0.25,0.15,0.15,5,5,12.5989,0.1323,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
55,30,50,0.3,0.3,0.1,0.1,5,5,12.6224,0.3581,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
56,30,50,0.3,0.25,0.1,0.1,5,5,12.6251,0.1131,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
57,30,50,0.3,0.3,0.15,0.15,5,5,12.7137,0.1719,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9697,0.0524,0.5419,0.5228
58,30,50,0.5,0.25,0.1,0.1,10,5,21.2802,0.413,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9657,0.0505,0.5419,0.5228
59,30,50,0.5,0.3,0.15,0.15,10,5,21.4751,0.6031,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9657,0.0505,0.5419,0.5228
60,30,50,0.5,0.25,0.15,0.15,10,5,21.5355,0.3252,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9657,0.0505,0.5419,0.5228
61,30,50,0.5,0.3,0.1,0.1,10,5,21.5696,0.6818,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9657,0.0505,0.5419,0.5228
62,50,50,0.3,0.25,0.15,0.15,5,5,17.7033,0.1715,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9648,0.05,0.5419,0.5228
63,50,50,0.3,0.25,0.1,0.1,5,5,17.8146,0.2111,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9648,0.05,0.5419,0.5228
64,50,50,0.3,0.3,0.1,0.1,5,5,17.8199,0.2199,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9648,0.05,0.5419,0.5228
65,50,50,0.3,0.3,0.15,0.15,5,5,18.1468,0.1631,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9648,0.05,0.5419,0.5228
66,50,25,0.3,0.3,0.1,0.1,5,5,18.2735,0.2024,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9648,0.05,0.5419,0.5228
67,50,25,0.3,0.3,0.15,0.15,5,5,18.2935,0.1881,0.5599,0.0,0.5419,0.0,3.21,0.0,0.5228,0.0,577.9648,0.05,0.5419,0.5228
68,30,25,0.5,0.25,0.1,0.1,5,5,12.6173,0.2621,0.5599,0.0,0.5419,0.0,3.208,0.004,0.5228,0.0,577.9824,0.0233,0.5419,0.5228
69,30,25,0.5,0.25,0.15,0.15,5,5,13.1428,0.4184,0.5599,0.0,0.5419,0.0,3.208,0.004,0.5228,0.0,577.9824,0.0233,0.5419,0.5228
70,20,25,0.5,0.3,0.1,0.1,10,5,16.4384,0.1401,0.5599,0.0,0.5419,0.0,3.208,0.004,0.5228,0.0,577.9561,0.0727,0.5419,0.5228
71,30,25,0.3,0.25,0.1,0.1,10,5,21.5351,0.3573,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9962,0.0107,0.5419,0.5228
72,20,25,0.3,0.25,0.1,0.1,10,5,16.2318,0.4538,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9749,0.0561,0.5419,0.5228
73,20,25,0.3,0.25,0.15,0.15,10,5,16.2452,0.3914,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9749,0.0561,0.5419,0.5228
74,20,50,0.3,0.25,0.1,0.1,5,5,9.5059,0.181,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9712,0.0542,0.5419,0.5228
75,20,50,0.3,0.25,0.15,0.15,5,5,9.5085,0.1542,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9712,0.0542,0.5419,0.5228
76,20,25,0.3,0.3,0.1,0.1,5,5,9.6134,0.1673,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9712,0.0542,0.5419,0.5228
77,20,50,0.3,0.3,0.1,0.1,5,5,9.761,0.1678,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9712,0.0542,0.5419,0.5228
78,20,50,0.3,0.3,0.15,0.15,5,5,9.857,0.1521,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9712,0.0542,0.5419,0.5228
79,20,25,0.3,0.3,0.15,0.15,5,5,9.8871,0.3018,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9712,0.0542,0.5419,0.5228
80,20,25,0.5,0.3,0.1,0.1,5,5,8.8227,0.4695,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9483,0.0689,0.5419,0.5228
81,20,25,0.5,0.3,0.15,0.15,5,5,9.6268,0.1357,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5228,0.0,577.9483,0.0689,0.5419,0.5228
82,30,25,0.5,0.25,0.1,0.1,10,5,21.4529,0.3399,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5227,0.0001,577.9084,0.1022,0.5418,0.5228
83,30,25,0.5,0.25,0.15,0.15,10,5,21.7712,0.4391,0.5599,0.0,0.5419,0.0,3.218,0.0098,0.5227,0.0001,577.9084,0.1022,0.5418,0.5228
84,20,50,0.5,0.3,0.15,0.15,5,5,9.6342,0.1233,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0,577.9265,0.0587,0.5418,0.5228
85,20,50,0.5,0.3,0.1,0.1,5,5,9.7591,0.2349,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0,577.9265,0.0587,0.5418,0.5228
86,20,50,0.5,0.25,0.15,0.15,5,5,9.9006,0.1864,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0,577.9265,0.0587,0.5418,0.5228
87,20,50,0.5,0.25,0.1,0.1,5,5,10.0582,0.2075,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0,577.9265,0.0587,0.5418,0.5228
88,20,50,0.5,0.3,0.1,0.1,10,5,15.8121,0.2836,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0001,577.9259,0.0871,0.5418,0.5228
89,20,50,0.5,0.25,0.15,0.15,10,5,16.2,0.2413,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0001,577.9259,0.0871,0.5418,0.5228
90,20,50,0.5,0.3,0.15,0.15,10,5,16.7879,0.2143,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0001,577.9259,0.0871,0.5418,0.5228
91,20,50,0.5,0.25,0.1,0.1,10,5,16.8462,0.6021,0.5599,0.0,0.5419,0.0,3.214,0.008,0.5227,0.0001,577.9259,0.0871,0.5418,0.5228
92,20,25,0.5,0.25,0.1,0.1,5,5,9.5782,0.1462,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5227,0.0,577.9447,0.0653,0.5419,0.5228
93,20,25,0.5,0.25,0.15,0.15,5,5,9.7371,0.1788,0.5599,0.0,0.5419,0.0001,3.204,0.012,0.5227,0.0,577.9447,0.0653,0.5419,0.5228
94,20,25,0.5,0.3,0.15,0.15,10,5,15.9718,0.1323,0.5599,0.0,0.542,0.0001,3.202,0.0117,0.5228,0.0,577.9616,0.0763,0.5419,0.5228
